name,table,rotor_rpm,x,y,z,nx,ny,nz,rotor_radius,hub_radius,rotor_thick
row-1_turbine-1,Mezzanine,5.35947,189.186,100.422,34.7239,1,0,0,12.5,0,2
row-1_turbine-2,Mezzanine,5.35075,188.311,176.999,32.4543,1,0,0,12.5,0,2
row-1_turbine-3,Mezzanine,5.34804,191.471,251.299,32.4463,1,0,0,12.5,0,2
row-1_turbine-4,Mezzanine,5.34497,189.056,329,31.6886,1,0,0,12.5,0,2
row-1_turbine-5,Mezzanine,5.34689,190.143,402.157,34.5003,1,0,0,12.5,0,2
row-2_turbine-1,Mezzanine,5.53433,375.828,142.053,31.8462,1,0,0,12.5,0,2
row-2_turbine-2,Mezzanine,5.51579,378.01,213.409,30.556,1,0,0,12.5,0,2
row-2_turbine-3,Mezzanine,5.45634,376.315,288.819,33.9013,1,0,0,12.5,0,2
row-2_turbine-4,Mezzanine,5.45872,378.27,363.228,31.9487,1,0,0,12.5,0,2
row-3_turbine-1,Mezzanine,5.20631,565.946,100.68,31.2085,1,0,0,12.5,0,2
row-3_turbine-2,Mezzanine,5.03537,566.241,179.346,32.0196,1,0,0,12.5,0,2
row-3_turbine-3,Mezzanine,5.25232,564.753,252.899,30.4823,1,0,0,12.5,0,2
row-3_turbine-4,Mezzanine,5.31677,562.919,327.749,30.6599,1,0,0,12.5,0,2
row-3_turbine-5,Mezzanine,4.70643,563.645,400.725,34.7103,1,0,0,12.5,0,2
row-4_turbine-1,Mezzanine,4.67505,754.567,141.765,34.7807,1,0,0,12.5,0,2
row-4_turbine-2,Mezzanine,4.63997,750.762,215.61,32.876,1,0,0,12.5,0,2
row-4_turbine-3,Mezzanine,5.11019,754.129,289.255,30.2989,1,0,0,12.5,0,2
row-4_turbine-4,Mezzanine,4.30357,752.692,365.066,31.1739,1,0,0,12.5,0,2
row-5_turbine-1,Mezzanine,4.68079,942.481,102.009,31.7658,1,0,0,12.5,0,2
row-5_turbine-2,Mezzanine,4.0922,937.891,175.38,34.106,1,0,0,12.5,0,2
row-5_turbine-3,Mezzanine,4.10178,939.713,251.2,30.077,1,0,0,12.5,0,2
row-5_turbine-4,Mezzanine,3.70897,938.033,325.617,30.2151,1,0,0,12.5,0,2
row-5_turbine-5,Mezzanine,3.34055,942.309,400.92,30.845,1,0,0,12.5,0,2
row-6_turbine-1,Mezzanine,3.48569,1125.02,138.7,33.2456,1,0,0,12.5,0,2
row-6_turbine-2,Mezzanine,3.54435,1128.87,214.586,33.6586,1,0,0,12.5,0,2
row-6_turbine-3,Mezzanine,3.63846,1129.09,287.748,33.2387,1,0,0,12.5,0,2
row-6_turbine-4,Mezzanine,3.28524,1129.34,367.014,32.2546,1,0,0,12.5,0,2
